,Entity,Continent,variable,value,Suma Sector,Suma Sector Cont,Porcentaje Sector,Porcentaje Sector Continenete
37,Thailand,Asia,Aviacion y Envio (per capita),0.268579453,132.4634286,53.18670179,0.202757437,0.504974823
38,Timor,Asia,Aviacion y Envio (per capita),0.007733234,132.4634286,53.18670179,0.005838015,0.014539789
39,Turkey,Asia,Aviacion y Envio (per capita),0.193696231,132.4634286,53.18670179,0.146226194,0.364181692
40,Turkmenistan,Asia,Aviacion y Envio (per capita),0.245704636,132.4634286,53.18670179,0.185488658,0.461966296
41,United Arab Emirates,Asia,Aviacion y Envio (per capita),7.747791767,132.4634286,53.18670179,5.849004401,14.56715966
42,Uzbekistan,Asia,Aviacion y Envio (per capita),0.012431131,132.4634286,53.18670179,0.009384576,0.023372629
43,Vietnam,Asia,Aviacion y Envio (per capita),0.047376115,132.4634286,53.18670179,0.03576543,0.089075113
44,Yemen,Asia,Aviacion y Envio (per capita),0.012687778,132.4634286,53.18670179,0.009578325,0.02385517
45,Albania,Europe,Aviacion y Envio (per capita),0.05553795,132.4634286,43.82876992,0.041927006,0.12671574
46,Andorra,Europe,Aviacion y Envio (per capita),,132.4634286,43.82876992,,
47,Austria,Europe,Aviacion y Envio (per capita),0.324954212,132.4634286,43.82876992,0.245316172,0.741417595
48,Belarus,Europe,Aviacion y Envio (per capita),0.06136002,132.4634286,43.82876992,0.046322235,0.139999412
49,Belgium,Europe,Aviacion y Envio (per capita),2.756660223,132.4634286,43.82876992,2.08107268,6.289613484
50,Bosnia and Herzegovina,Europe,Aviacion y Envio (per capita),0.00908816,132.4634286,43.82876992,0.006860883,0.020735605
51,Bulgaria,Europe,Aviacion y Envio (per capita),0.138569117,132.4634286,43.82876992,0.104609339,0.316160177
52,Croatia,Europe,Aviacion y Envio (per capita),0.164637029,132.4634286,43.82876992,0.124288667,0.375636892
53,Cyprus,Europe,Aviacion y Envio (per capita),1.526814342,132.4634286,43.82876992,1.152630849,3.483589305
54,Czechia,Europe,Aviacion y Envio (per capita),0.117875844,132.4634286,43.82876992,0.088987463,0.268946275
55,Denmark,Europe,Aviacion y Envio (per capita),0.947698653,132.4634286,43.82876992,0.715441736,2.162275269
56,Estonia,Europe,Aviacion y Envio (per capita),0.59593451,132.4634286,43.82876992,0.449886068,1.359687966
57,Finland,Europe,Aviacion y Envio (per capita),0.650740504,132.4634286,43.82876992,0.491260502,1.48473367
58,France,Europe,Aviacion y Envio (per capita),0.367420524,132.4634286,43.82876992,0.277375067,0.838309003
59,Germany,Europe,Aviacion y Envio (per capita),0.405905157,132.4634286,43.82876992,0.306428092,0.926115787
60,Greece,Europe,Aviacion y Envio (per capita),1.107562304,132.4634286,43.82876992,0.836126858,2.527021191
61,Hungary,Europe,Aviacion y Envio (per capita),0.086734928,132.4634286,43.82876992,0.065478396,0.197894963
62,Iceland,Europe,Aviacion y Envio (per capita),3.391960144,132.4634286,43.82876992,2.560676694,7.739117821
63,Ireland,Europe,Aviacion y Envio (per capita),0.759856939,132.4634286,43.82876992,0.573635265,1.733694422
64,Italy,Europe,Aviacion y Envio (per capita),0.340049028,132.4634286,43.82876992,0.256711631,0.775858024
65,Latvia,Europe,Aviacion y Envio (per capita),0.728992939,132.4634286,43.82876992,0.550335249,1.663274923
66,Liechtenstein,Europe,Aviacion y Envio (per capita),,132.4634286,43.82876992,,
67,Lithuania,Europe,Aviacion y Envio (per capita),0.362367302,132.4634286,43.82876992,0.273560262,0.82677954
68,Luxembourg,Europe,Aviacion y Envio (per capita),2.939600229,132.4634286,43.82876992,2.219178728,6.707010565
69,Malta,Europe,Aviacion y Envio (per capita),17.82563591,132.4634286,43.82876992,13.4570244,40.67108418
70,Moldova,Europe,Aviacion y Envio (per capita),0.039572049,132.4634286,43.82876992,0.029873943,0.090287838
71,Montenegro,Europe,Aviacion y Envio (per capita),0.111467101,132.4634286,43.82876992,0.08414934,0.254324045
72,Netherlands,Europe,Aviacion y Envio (per capita),2.898148298,132.4634286,43.82876992,2.187885615,6.612433576
73,North Macedonia,Europe,Aviacion y Envio (per capita),0.038397703,132.4634286,43.82876992,0.0289874,0.087608444
74,Norway,Europe,Aviacion y Envio (per capita),0.420163453,132.4634286,43.82876992,0.317192041,0.958647604
75,Poland,Europe,Aviacion y Envio (per capita),0.108478285,132.4634286,43.82876992,0.081893007,0.247504745
76,Portugal,Europe,Aviacion y Envio (per capita),0.732433975,132.4634286,43.82876992,0.552932974,1.671126012
77,Romania,Europe,Aviacion y Envio (per capita),0.029435219,132.4634286,43.82876992,0.022221393,0.067159583
78,Russia,Europe,Aviacion y Envio (per capita),0.355379403,132.4634286,43.82876992,0.268284919,0.810835904
79,Serbia,Europe,Aviacion y Envio (per capita),0.054718141,132.4634286,43.82876992,0.041308111,0.124845257
80,Slovakia,Europe,Aviacion y Envio (per capita),0.025655065,132.4634286,43.82876992,0.019367659,0.058534759
81,Slovenia,Europe,Aviacion y Envio (per capita),0.331945568,132.4634286,43.82876992,0.250594124,0.757369118
82,Spain,Europe,Aviacion y Envio (per capita),0.800868154,132.4634286,43.82876992,0.60459567,1.827265869
83,Sweden,Europe,Aviacion y Envio (per capita),0.91367507,132.4634286,43.82876992,0.689756471,2.084646846
84,Switzerland,Europe,Aviacion y Envio (per capita),0.655309439,132.4634286,43.82876992,0.494709707,1.49515818
85,Ukraine,Europe,Aviacion y Envio (per capita),0.008637612,132.4634286,43.82876992,0.006520752,0.01970763
86,United Kingdom,Europe,Aviacion y Envio (per capita),0.63852942,132.4634286,43.82876992,0.482042045,1.456872782
87,Algeria,Africa,Aviacion y Envio (per capita),0.035305277,132.4634286,11.11146637,0.026652848,0.317737329
88,Angola,Africa,Aviacion y Envio (per capita),0.062214658,132.4634286,11.11146637,0.046967422,0.559914017
89,Benin,Africa,Aviacion y Envio (per capita),0.005931625,132.4634286,11.11146637,0.004477934,0.053382915
90,Botswana,Africa,Aviacion y Envio (per capita),0.017363349,132.4634286,11.11146637,0.013108032,0.156265144
91,Burkina Faso,Africa,Aviacion y Envio (per capita),0.004920925,132.4634286,11.11146637,0.003714931,0.044286909
92,Burundi,Africa,Aviacion y Envio (per capita),0.001734519,132.4634286,11.11146637,0.001309432,0.015610168
93,Cameroon,Africa,Aviacion y Envio (per capita),0.002318716,132.4634286,11.11146637,0.001750458,0.02086778
94,Cape Verde,Africa,Aviacion y Envio (per capita),0.763725221,132.4634286,11.11146637,0.576555529,6.873307227
95,Central African Republic,Africa,Aviacion y Envio (per capita),0.012644412,132.4634286,11.11146637,0.009545587,0.11379607
96,Chad,Africa,Aviacion y Envio (per capita),0.002508327,132.4634286,11.11146637,0.0018936,0.022574225
97,Comoros,Africa,Aviacion y Envio (per capita),0.011752387,132.4634286,11.11146637,0.008872175,0.105768097
98,Congo,Africa,Aviacion y Envio (per capita),0.018585619,132.4634286,11.11146637,0.014030755,0.167265219
99,Cote d'Ivoire,Africa,Aviacion y Envio (per capita),0.032274932,132.4634286,11.11146637,0.024365164,0.290465098
100,Democratic Republic of Congo,Africa,Aviacion y Envio (per capita),0.004493576,132.4634286,11.11146637,0.003392314,0.040440891
101,Djibouti,Africa,Aviacion y Envio (per capita),0.328691602,132.4634286,11.11146637,0.248137622,2.958129834
102,Egypt,Africa,Aviacion y Envio (per capita),0.028090984,132.4634286,11.11146637,0.021206596,0.252810769
103,Equatorial Guinea,Africa,Aviacion y Envio (per capita),0.088496752,132.4634286,11.11146637,0.066808441,0.796445304
104,Eritrea,Africa,Aviacion y Envio (per capita),0.008578495,132.4634286,11.11146637,0.006476123,0.077203988
105,Eswatini,Africa,Aviacion y Envio (per capita),0.008709792,132.4634286,11.11146637,0.006575243,0.078385622
106,Ethiopia,Africa,Aviacion y Envio (per capita),0.020967403,132.4634286,11.11146637,0.015828824,0.188700597
107,Gabon,Africa,Aviacion y Envio (per capita),0.248552635,132.4634286,11.11146637,0.187638685,2.236902196
108,Gambia,Africa,Aviacion y Envio (per capita),0.021297477,132.4634286,11.11146637,0.016078005,0.191671166
109,Ghana,Africa,Aviacion y Envio (per capita),0.029259128,132.4634286,11.11146637,0.022088458,0.263323737
110,Guinea,Africa,Aviacion y Envio (per capita),0.006264071,132.4634286,11.11146637,0.004728906,0.056374841
111,Guinea-Bissau,Africa,Aviacion y Envio (per capita),0.020823387,132.4634286,11.11146637,0.015720103,0.187404495
112,Kenya,Africa,Aviacion y Envio (per capita),0.045840178,132.4634286,11.11146637,0.034605912,0.412548409
113,Liberia,Africa,Aviacion y Envio (per capita),0.006076104,132.4634286,11.11146637,0.004587005,0.054683192
114,Libya,Africa,Aviacion y Envio (per capita),0.157876417,132.4634286,11.11146637,0.119184909,1.420842324
115,Madagascar,Africa,Aviacion y Envio (per capita),0.006303462,132.4634286,11.11146637,0.004758643,0.056729346
116,Malawi,Africa,Aviacion y Envio (per capita),0.001073609,132.4634286,11.11146637,0.000810495,0.009662176
117,Mali,Africa,Aviacion y Envio (per capita),0.011191359,132.4634286,11.11146637,0.00844864,0.100719009
118,Mauritania,Africa,Aviacion y Envio (per capita),0.013257624,132.4634286,11.11146637,0.010008516,0.119314798
119,Mauritius,Africa,Aviacion y Envio (per capita),2.35494256,132.4634286,11.11146637,1.777805833,21.1938054
120,Morocco,Africa,Aviacion y Envio (per capita),0.080336116,132.4634286,11.11146637,0.060647771,0.723001929
121,Mozambique,Africa,Aviacion y Envio (per capita),0.000987946,132.4634286,11.11146637,0.000745825,0.008891227
122,Namibia,Africa,Aviacion y Envio (per capita),0.044096589,132.4634286,11.11146637,0.033289633,0.396856613
123,Niger,Africa,Aviacion y Envio (per capita),0.006005821,132.4634286,11.11146637,0.004533946,0.054050659
124,Nigeria,Africa,Aviacion y Envio (per capita),0.012788384,132.4634286,11.11146637,0.009654275,0.115091778
125,Rwanda,Africa,Aviacion y Envio (per capita),,132.4634286,11.11146637,,
126,Sao Tome and Principe,Africa,Aviacion y Envio (per capita),0.186004981,132.4634286,11.11146637,0.140419875,1.673991309
127,Senegal,Africa,Aviacion y Envio (per capita),0.076090604,132.4634286,11.11146637,0.057442726,0.684793541
128,Seychelles,Africa,Aviacion y Envio (per capita),5.934050083,132.4634286,11.11146637,4.479764828,53.40474322
129,Sierra Leone,Africa,Aviacion y Envio (per capita),0.003839653,132.4634286,11.11146637,0.002898651,0.034555768
130,Somalia,Africa,Aviacion y Envio (per capita),0.01489357,132.4634286,11.11146637,0.011243534,0.134037844
131,South Africa,Africa,Aviacion y Envio (per capita),0.193482518,132.4634286,11.11146637,0.146064858,1.741286989
132,South Sudan,Africa,Aviacion y Envio (per capita),0.024407631,132.4634286,11.11146637,0.018425939,0.219661654
133,Sudan,Africa,Aviacion y Envio (per capita),0.014715075,132.4634286,11.11146637,0.011108783,0.132431437
134,Tanzania,Africa,Aviacion y Envio (per capita),0.007930288,132.4634286,11.11146637,0.005986776,0.071370311
135,Togo,Africa,Aviacion y Envio (per capita),0.025982514,132.4634286,11.11146637,0.019614858,0.23383515
136,Tunisia,Africa,Aviacion y Envio (per capita),0.08294341,132.4634286,11.11146637,0.062616082,0.74646682
137,Uganda,Africa,Aviacion y Envio (per capita),0.007680217,132.4634286,11.11146637,0.00579799,0.069119741
138,Zambia,Africa,Aviacion y Envio (per capita),0.002239512,132.4634286,11.11146637,0.001690664,0.020154964
139,Zimbabwe,Africa,Aviacion y Envio (per capita),0.010924878,132.4634286,11.11146637,0.008247467,0.098320755
140,Antigua and Barbuda,North America,Aviacion y Envio (per capita),2.265355587,132.4634286,11.77778998,1.710174356,19.23413128
141,Bahamas,North America,Aviacion y Envio (per capita),0.77024591,132.4634286,11.77778998,0.581478162,6.539816984
142,Barbados,North America,Aviacion y Envio (per capita),1.219422936,132.4634286,11.77778998,0.920573285,10.35358024
143,Belize,North America,Aviacion y Envio (per capita),0.128089845,132.4634286,11.77778998,0.096698271,1.087554162
144,Canada,North America,Aviacion y Envio (per capita),0.117879644,132.4634286,11.77778998,0.088990331,1.000863865
145,Costa Rica,North America,Aviacion y Envio (per capita),0.140662,132.4634286,11.77778998,0.106189309,1.194298759
146,Cuba,North America,Aviacion y Envio (per capita),0.118233725,132.4634286,11.77778998,0.089257636,1.003870213
147,Dominica,North America,Aviacion y Envio (per capita),0.139260247,132.4634286,11.77778998,0.105131091,1.182397101
148,Dominican Republic,North America,Aviacion y Envio (per capita),0.136884809,132.4634286,11.77778998,0.103337812,1.162228302
149,El Salvador,North America,Aviacion y Envio (per capita),0.089873016,132.4634286,11.77778998,0.067847418,0.763071986
150,Grenada,North America,Aviacion y Envio (per capita),0.267852366,132.4634286,11.77778998,0.202208541,2.274215845
151,Guatemala,North America,Aviacion y Envio (per capita),0.095555119,132.4634286,11.77778998,0.072136982,0.811316209
152,Haiti,North America,Aviacion y Envio (per capita),0.006214997,132.4634286,11.77778998,0.004691859,0.052768786
153,Honduras,North America,Aviacion y Envio (per capita),0.040015943,132.4634286,11.77778998,0.03020905,0.339757657
154,Jamaica,North America,Aviacion y Envio (per capita),0.607134283,132.4634286,11.77778998,0.45834106,5.154908378
155,Mexico,North America,Aviacion y Envio (per capita),0.117890947,132.4634286,11.77778998,0.088998864,1.00095983
156,Nicaragua,North America,Aviacion y Envio (per capita),0.007638833,132.4634286,11.77778998,0.005766748,0.064857945
157,Panama,North America,Aviacion y Envio (per capita),3.480562449,132.4634286,11.77778998,2.62756482,29.55191469
158,Saint Kitts and Nevis,North America,Aviacion y Envio (per capita),0.378544122,132.4634286,11.77778998,0.285772553,3.214050535
159,Saint Lucia,North America,Aviacion y Envio (per capita),0.6564731,132.4634286,11.77778998,0.495588184,5.573822433
160,Trinidad and Tobago,North America,Aviacion y Envio (per capita),0.537646353,132.4634286,11.77778998,0.405882861,4.564917136
161,United States,North America,Aviacion y Envio (per capita),0.456353754,132.4634286,11.77778998,0.344513017,3.874697668
162,Argentina,South America,Aviacion y Envio (per capita),0.109645508,132.4634286,1.336098397,0.082774174,8.206394713
163,Bolivia,South America,Aviacion y Envio (per capita),0.01997724,132.4634286,1.336098397,0.015081325,1.495192265
164,Brazil,South America,Aviacion y Envio (per capita),0.08590401,132.4634286,1.336098397,0.064851114,6.429467307
165,Chile,South America,Aviacion y Envio (per capita),0.13929902,132.4634286,1.336098397,0.105160361,10.4258055
166,Colombia,South America,Aviacion y Envio (per capita),0.092174247,132.4634286,1.336098397,0.069584675,6.89876188
167,Ecuador,South America,Aviacion y Envio (per capita),0.154256538,132.4634286,1.336098397,0.11645217,11.5452977
168,Guyana,South America,Aviacion y Envio (per capita),0.089425445,132.4634286,1.336098397,0.067509535,6.693028357
169,Paraguay,South America,Aviacion y Envio (per capita),0.029809901,132.4634286,1.336098397,0.02250425,2.231115729
170,Peru,South America,Aviacion y Envio (per capita),0.111348771,132.4634286,1.336098397,0.084060009,8.33387502
171,Suriname,South America,Aviacion y Envio (per capita),0.240813404,132.4634286,1.336098397,0.181796143,18.02362796
172,Uruguay,South America,Aviacion y Envio (per capita),0.233986989,132.4634286,1.336098397,0.176642709,17.51270634
173,Venezuela,South America,Aviacion y Envio (per capita),0.029457325,132.4634286,1.336098397,0.022238081,2.204727225
174,Australia,Oceania,Aviacion y Envio (per capita),0.70387888,132.4634286,11.2226021,0.531376009,6.271975726
175,Cook Islands,Oceania,Aviacion y Envio (per capita),2.279592037,132.4634286,11.2226021,1.720921814,20.31250878
176,Fiji,Oceania,Aviacion y Envio (per capita),0.393278301,132.4634286,11.2226021,0.296895758,3.504341482
177,Marshall Islands,Oceania,Aviacion y Envio (per capita),0.170094058,132.4634286,11.2226021,0.128408316,1.51563832
178,Micronesia (country),Oceania,Aviacion y Envio (per capita),0.351459891,132.4634286,11.2226021,0.26532598,3.131714797
179,Nauru,Oceania,Aviacion y Envio (per capita),2.78706789,132.4634286,11.2226021,2.104028199,24.83441777
180,New Zealand,Oceania,Aviacion y Envio (per capita),1.041174054,132.4634286,11.2226021,0.786008686,9.277474553
181,Palau,Oceania,Aviacion y Envio (per capita),2.777623415,132.4634286,11.2226021,2.096898325,24.75026193
182,Papua New Guinea,Oceania,Aviacion y Envio (per capita),0.028486395,132.4634286,11.2226021,0.021505102,0.253830573
183,Samoa,Oceania,Aviacion y Envio (per capita),0.253687352,132.4634286,11.2226021,0.191515013,2.260503844
184,Solomon Islands,Oceania,Aviacion y Envio (per capita),0.044788085,132.4634286,11.2226021,0.033811661,0.399088237
185,Tonga,Oceania,Aviacion y Envio (per capita),0.191393048,132.4634286,11.2226021,0.144487463,1.705424872
186,Vanuatu,Oceania,Aviacion y Envio (per capita),0.200078696,132.4634286,11.2226021,0.151044479,1.78281912
187,Afghanistan,Asia,Uso de tierras y bosques (per capita),0.003943036,244.0407067,14.45427938,0.001615729,0.027279366
188,Armenia,Asia,Uso de tierras y bosques (per capita),0.013523894,244.0407067,14.45427938,0.005541655,0.093563256
189,Bangladesh,Asia,Uso de tierras y bosques (per capita),0.133459121,244.0407067,14.45427938,0.054687238,0.923319091
190,Brunei,Asia,Uso de tierras y bosques (per capita),0.784682989,244.0407067,14.45427938,0.321537747,5.428724382
191,Cambodia,Asia,Uso de tierras y bosques (per capita),1.923386812,244.0407067,14.45427938,0.788141797,13.30669459
192,Georgia,Asia,Uso de tierras y bosques (per capita),0.010008101,244.0407067,14.45427938,0.004100997,0.069239712
193,Indonesia,Asia,Uso de tierras y bosques (per capita),3.53754425,244.0407067,14.45427938,1.449571384,24.47402708
194,Iran,Asia,Uso de tierras y bosques (per capita),0.000723642,244.0407067,14.45427938,0.000296525,0.005006423
195,Iraq,Asia,Uso de tierras y bosques (per capita),0.012719478,244.0407067,14.45427938,0.005212031,0.087998012
196,Israel,Asia,Uso de tierras y bosques (per capita),0.009390363,244.0407067,14.45427938,0.003847867,0.064965968
197,Laos,Asia,Uso de tierras y bosques (per capita),1.415728092,244.0407067,14.45427938,0.580119649,9.794525584
198,Malaysia,Asia,Uso de tierras y bosques (per capita),2.600643158,244.0407067,14.45427938,1.065659575,17.9922021
199,Mongolia,Asia,Uso de tierras y bosques (per capita),0.96119082,244.0407067,14.45427938,0.393864955,6.649870217
200,Myanmar,Asia,Uso de tierras y bosques (per capita),2.029774189,244.0407067,14.45427938,0.831735909,14.04272143
201,Nepal,Asia,Uso de tierras y bosques (per capita),0.145060703,244.0407067,14.45427938,0.059441191,1.003583086
202,North Korea,Asia,Uso de tierras y bosques (per capita),0.130132452,244.0407067,14.45427938,0.053324076,0.900303974
203,Oman,Asia,Uso de tierras y bosques (per capita),0.004020107,244.0407067,14.45427938,0.00164731,0.027812573
204,Pakistan,Asia,Uso de tierras y bosques (per capita),0.032322813,244.0407067,14.45427938,0.013244845,0.22362106
205,Philippines,Asia,Uso de tierras y bosques (per capita),0.023215672,244.0407067,14.45427938,0.009513033,0.160614524
206,Singapore,Asia,Uso de tierras y bosques (per capita),0.005168544,244.0407067,14.45427938,0.002117902,0.035757879
207,Sri Lanka,Asia,Uso de tierras y bosques (per capita),0.089571558,244.0407067,14.45427938,0.036703532,0.619688852
208,Thailand,Asia,Uso de tierras y bosques (per capita),0.216874331,244.0407067,14.45427938,0.088868097,1.500416074
209,Timor,Asia,Uso de tierras y bosques (per capita),0.371195257,244.0407067,14.45427938,0.152103828,2.568064771
210,Algeria,Africa,Uso de tierras y bosques (per capita),0.005109974,244.0407067,74.55341742,0.002093902,0.006854111
211,Angola,Africa,Uso de tierras y bosques (per capita),1.527401209,244.0407067,74.55341742,0.625879686,2.048733997
212,Benin,Africa,Uso de tierras y bosques (per capita),0.912622869,244.0407067,74.55341742,0.373963377,1.224119431
213,Botswana,Africa,Uso de tierras y bosques (per capita),17.94068146,244.0407067,74.55341742,7.351511845,24.06419729
214,Burkina Faso,Africa,Uso de tierras y bosques (per capita),1.185943007,244.0407067,74.55341742,0.485961143,1.590729236
215,Burundi,Africa,Uso de tierras y bosques (per capita),0.301806241,244.0407067,74.55341742,0.12367045,0.404818789
216,Cameroon,Africa,Uso de tierras y bosques (per capita),1.339445114,244.0407067,74.55341742,0.548861349,1.796624703
217,Central African Republic,Africa,Uso de tierras y bosques (per capita),5.66048193,244.0407067,74.55341742,2.319482683,7.592518393
218,Chad,Africa,Uso de tierras y bosques (per capita),1.506877661,244.0407067,74.55341742,0.617469799,2.021205349
219,Comoros,Africa,Uso de tierras y bosques (per capita),0.070514321,244.0407067,74.55341742,0.028894492,0.094582279
220,Congo,Africa,Uso de tierras y bosques (per capita),2.020256758,244.0407067,74.55341742,0.827835973,2.709811069
221,Cote d'Ivoire,Africa,Uso de tierras y bosques (per capita),1.036297441,244.0407067,74.55341742,0.424641223,1.390006624
222,Democratic Republic of Congo,Africa,Uso de tierras y bosques (per capita),7.196173668,244.0407067,74.55341742,2.94875956,9.652372644
223,Egypt,Africa,Uso de tierras y bosques (per capita),0.001793042,244.0407067,74.55341742,0.000734731,0.002405043
224,Equatorial Guinea,Africa,Uso de tierras y bosques (per capita),2.824521303,244.0407067,74.55341742,1.157397609,3.788587299
225,Eritrea,Africa,Uso de tierras y bosques (per capita),0.128677428,244.0407067,74.55341742,0.052727854,0.172597625
226,Ethiopia,Africa,Uso de tierras y bosques (per capita),0.289082527,244.0407067,74.55341742,0.118456683,0.387752215
227,Gabon,Africa,Uso de tierras y bosques (per capita),2.996440172,244.0407067,74.55341742,1.227844409,4.01918554
228,Gambia,Africa,Uso de tierras y bosques (per capita),0.225753248,244.0407067,74.55341742,0.09250639,0.302807377
229,Guinea,Africa,Uso de tierras y bosques (per capita),0.961534977,244.0407067,74.55341742,0.39400598,1.289726226
230,Guinea-Bissau,Africa,Uso de tierras y bosques (per capita),0.848553061,244.0407067,74.55341742,0.34770964,1.138181308
231,Liberia,Africa,Uso de tierras y bosques (per capita),2.764627457,244.0407067,74.55341742,1.132855045,3.708250476
232,Madagascar,Africa,Uso de tierras y bosques (per capita),0.394522578,244.0407067,74.55341742,0.161662611,0.529181077
233,Malawi,Africa,Uso de tierras y bosques (per capita),0.450379163,244.0407067,74.55341742,0.184550835,0.60410264
234,Mozambique,Africa,Uso de tierras y bosques (per capita),2.349334717,244.0407067,74.55341742,0.962681492,3.151209962
235,Namibia,Africa,Uso de tierras y bosques (per capita),4.233272552,244.0407067,74.55341742,1.734658373,5.678173716
236,Niger,Africa,Uso de tierras y bosques (per capita),0.053194415,244.0407067,74.55341742,0.021797353,0.07135074
237,Nigeria,Africa,Uso de tierras y bosques (per capita),0.229643553,244.0407067,74.55341742,0.094100512,0.308025522
238,Rwanda,Africa,Uso de tierras y bosques (per capita),0.130673006,244.0407067,74.55341742,0.053545578,0.175274334
239,Sao Tome and Principe,Africa,Uso de tierras y bosques (per capita),1.02302742,244.0407067,74.55341742,0.419203597,1.372207278
240,Senegal,Africa,Uso de tierras y bosques (per capita),0.268158019,244.0407067,74.55341742,0.109882496,0.35968575
241,Sierra Leone,Africa,Uso de tierras y bosques (per capita),0.432600856,244.0407067,74.55341742,0.177265859,0.580256239
242,Somalia,Africa,Uso de tierras y bosques (per capita),1.123493195,244.0407067,74.55341742,0.460371227,1.506964045
243,South Africa,Africa,Uso de tierras y bosques (per capita),0.11526981,244.0407067,74.55341742,0.047233845,0.154613717
244,South Sudan,Africa,Uso de tierras y bosques (per capita),0.851555109,244.0407067,74.55341742,0.348939782,1.142208015
245,Sudan,Africa,Uso de tierras y bosques (per capita),0.490736037,244.0407067,74.55341742,0.201087779,0.658234129
246,Tanzania,Africa,Uso de tierras y bosques (per capita),1.222126365,244.0407067,74.55341742,0.500787914,1.639262702
247,Togo,Africa,Uso de tierras y bosques (per capita),0.101455525,244.0407067,74.55341742,0.041573197,0.136084338
